S_N,Timestamp,Irradiation_W_m2
0,821,2025-11-03 12:54:13.732479
1,819,2025-11-03 12:54:14.762390
2,821,2025-11-03 12:54:15.792360
3,822,2025-11-03 12:54:16.822291
4,821,2025-11-03 12:54:17.852332
5,825,2025-11-03 12:54:18.878274
6,822,2025-11-03 12:54:19.908327
7,827,2025-11-03 12:54:20.938409
8,825,2025-11-03 12:54:21.968410
9,829,2025-11-03 12:54:22.998402
10,828,2025-11-03 12:54:24.028422
11,830,2025-11-03 12:54:25.058421
12,830,2025-11-03 12:54:26.088392
13,830,2025-11-03 12:54:27.118338
14,833,2025-11-03 12:54:28.148318
15,831,2025-11-03 12:54:29.174052
16,835,2025-11-03 12:54:30.204029
17,832,2025-11-03 12:54:31.233985
18,837,2025-11-03 12:54:32.263947
19,835,2025-11-03 12:54:33.293885
20,840,2025-11-03 12:54:34.319609
21,840,2025-11-03 12:54:35.349562
22,842,2025-11-03 12:54:36.375286
23,843,2025-11-03 12:54:37.405250
24,843,2025-11-03 12:54:38.435218
25,846,2025-11-03 12:54:39.465176
26,845,2025-11-03 12:54:40.490900
27,849,2025-11-03 12:54:41.516657
28,848,2025-11-03 12:54:42.546607
29,849,2025-11-03 12:54:43.576556
30,851,2025-11-03 12:54:44.606515
31,848,2025-11-03 12:54:45.636454
32,851,2025-11-03 12:54:46.666400
33,847,2025-11-03 12:54:47.696350
34,852,2025-11-03 12:54:48.722072
35,848,2025-11-03 12:54:49.752040
36,851,2025-11-03 12:54:50.781987
37,849,2025-11-03 12:54:51.811936
38,850,2025-11-03 12:54:52.841965
39,852,2025-11-03 12:54:53.871835
40,851,2025-11-03 12:54:54.901679
41,855,2025-11-03 12:54:55.927322
42,852,2025-11-03 12:54:56.957158
43,855,2025-11-03 12:54:57.982898
44,851,2025-11-03 12:54:59.012824
45,855,2025-11-03 12:55:00.042786
46,852,2025-11-03 12:55:01.072760
47,854,2025-11-03 12:55:02.102656
48,854,2025-11-03 12:55:03.132511
49,853,2025-11-03 12:55:04.158135
50,855,2025-11-03 12:55:05.187987
51,852,2025-11-03 12:55:06.217845
52,856,2025-11-03 12:55:07.243589
53,853,2025-11-03 12:55:08.269313
54,857,2025-11-03 12:55:09.299254
55,855,2025-11-03 12:55:10.329219
56,857,2025-11-03 12:55:11.359177
57,859,2025-11-03 12:55:12.389128
58,857,2025-11-03 12:55:13.419069
59,860,2025-11-03 12:55:14.449041
60,858,2025-11-03 12:55:15.478994
61,861,2025-11-03 12:55:16.504715
62,859,2025-11-03 12:55:17.534686
63,860,2025-11-03 12:55:18.564642
64,861,2025-11-03 12:55:19.594607
65,860,2025-11-03 12:55:20.620331
66,863,2025-11-03 12:55:21.650282
67,861,2025-11-03 12:55:22.676012
68,864,2025-11-03 12:55:23.705973
69,861,2025-11-03 12:55:24.735921
70,865,2025-11-03 12:55:25.761675
71,862,2025-11-03 12:55:26.787412
72,866,2025-11-03 12:55:27.817386
73,865,2025-11-03 12:55:28.847346
74,865,2025-11-03 12:55:29.877322
75,867,2025-11-03 12:55:30.907279
76,864,2025-11-03 12:55:31.937231
77,867,2025-11-03 12:55:32.967173
78,865,2025-11-03 12:55:33.997155
79,869,2025-11-03 12:55:35.022874
80,867,2025-11-03 12:55:36.052829
81,869,2025-11-03 12:55:37.082798
82,868,2025-11-03 12:55:38.112798
83,869,2025-11-03 12:55:39.142759
84,870,2025-11-03 12:55:40.172727
85,868,2025-11-03 12:55:41.202691
86,872,2025-11-03 12:55:42.228412
87,869,2025-11-03 12:55:43.258368
88,871,2025-11-03 12:55:44.288346
89,869,2025-11-03 12:55:45.318334
90,869,2025-11-03 12:55:46.348301
91,870,2025-11-03 12:55:47.378265
92,869,2025-11-03 12:55:48.408206
93,873,2025-11-03 12:55:49.438153
94,869,2025-11-03 12:55:50.463901
95,874,2025-11-03 12:55:51.493879
96,870,2025-11-03 12:55:52.523829
97,874,2025-11-03 12:55:53.553786
98,873,2025-11-03 12:55:54.583749
99,876,2025-11-03 12:55:55.613696
100,876,2025-11-03 12:55:56.639415
101,875,2025-11-03 12:55:57.665125
102,876,2025-11-03 12:55:58.695083
103,873,2025-11-03 12:55:59.725061
104,877,2025-11-03 12:56:00.755010
105,873,2025-11-03 12:56:01.784995
106,878,2025-11-03 12:56:02.814980
107,873,2025-11-03 12:56:03.844933
108,874,2025-11-03 12:56:04.870658
109,872,2025-11-03 12:56:05.900606
110,871,2025-11-03 12:56:06.930562
111,873,2025-11-03 12:56:07.960534
112,871,2025-11-03 12:56:08.990465
113,874,2025-11-03 12:56:10.016198
114,870,2025-11-03 12:56:11.046203
115,871,2025-11-03 12:56:12.076161
116,871,2025-11-03 12:56:13.106091
117,871,2025-11-03 12:56:14.136063
118,875,2025-11-03 12:56:15.166045
119,872,2025-11-03 12:56:16.196034
120,876,2025-11-03 12:56:17.226017
121,872,2025-11-03 12:56:18.251744
122,875,2025-11-03 12:56:19.281698
123,873,2025-11-03 12:56:20.311737
