S_N,Timestamp,Irradiation_W_m2
124,874,2025-11-03 12:56:21.341685
125,873,2025-11-03 12:56:22.371675
126,873,2025-11-03 12:56:23.401627
127,875,2025-11-03 12:56:24.431590
128,872,2025-11-03 12:56:25.461552
129,875,2025-11-03 12:56:26.491517
130,871,2025-11-03 12:56:27.517235
131,875,2025-11-03 12:56:28.547179
132,871,2025-11-03 12:56:29.577150
133,874,2025-11-03 12:56:30.607128
134,872,2025-11-03 12:56:31.637075
135,872,2025-11-03 12:56:32.667029
136,874,2025-11-03 12:56:33.696975
137,874,2025-11-03 12:56:34.722689
138,879,2025-11-03 12:56:35.752642
139,878,2025-11-03 12:56:36.782600
140,884,2025-11-03 12:56:37.812611
141,882,2025-11-03 12:56:38.842574
142,888,2025-11-03 12:56:39.872524
143,887,2025-11-03 12:56:40.902470
144,886,2025-11-03 12:56:41.932416
145,891,2025-11-03 12:56:42.962332
146,888,2025-11-03 12:56:43.988073
147,894,2025-11-03 12:56:45.018049
148,891,2025-11-03 12:56:46.048005
149,897,2025-11-03 12:56:47.077972
150,895,2025-11-03 12:56:48.107941
151,899,2025-11-03 12:56:49.137876
152,899,2025-11-03 12:56:50.163627
153,898,2025-11-03 12:56:51.193590
154,899,2025-11-03 12:56:52.219354
155,895,2025-11-03 12:56:53.249304
156,897,2025-11-03 12:56:54.279284
157,893,2025-11-03 12:56:55.309300
158,895,2025-11-03 12:56:56.339242
159,890,2025-11-03 12:56:57.364981
160,890,2025-11-03 12:56:58.394929
161,886,2025-11-03 12:56:59.420681
162,885,2025-11-03 12:57:00.450638
163,885,2025-11-03 12:57:01.480601
164,881,2025-11-03 12:57:05.514567
165,881,2025-11-03 12:57:06.540216
166,881,2025-11-03 12:57:07.570171
167,885,2025-11-03 12:57:08.600130
168,883,2025-11-03 12:57:09.630095
169,888,2025-11-03 12:57:10.655854
170,885,2025-11-03 12:57:11.686078
171,889,2025-11-03 12:57:12.716277
172,887,2025-11-03 12:57:13.742010
173,890,2025-11-03 12:57:14.771959
174,890,2025-11-03 12:57:15.797691
175,889,2025-11-03 12:57:16.827638
176,889,2025-11-03 12:57:17.857618
177,886,2025-11-03 12:57:18.887578
178,888,2025-11-03 12:57:19.913296
179,885,2025-11-03 12:57:20.943266
180,888,2025-11-03 12:57:21.968997
181,885,2025-11-03 12:57:22.998955
182,887,2025-11-03 12:57:24.028907
183,885,2025-11-03 12:57:25.058872
184,885,2025-11-03 12:57:26.084601
185,887,2025-11-03 12:57:27.114576
186,886,2025-11-03 12:57:28.144518
187,889,2025-11-03 12:57:29.174467
188,887,2025-11-03 12:57:30.204449
189,891,2025-11-03 12:57:31.234415
190,888,2025-11-03 12:57:32.264384
191,889,2025-11-03 12:57:33.294318
192,892,2025-11-03 12:57:34.324275
193,892,2025-11-03 12:57:35.350001
194,897,2025-11-03 12:57:36.379953
195,895,2025-11-03 12:57:37.409921
196,901,2025-11-03 12:57:38.439879
197,898,2025-11-03 12:57:39.469837
198,903,2025-11-03 12:57:40.499826
199,902,2025-11-03 12:57:41.525547
200,904,2025-11-03 12:57:42.555503
201,904,2025-11-03 12:57:43.585463
202,903,2025-11-03 12:57:44.615424
203,905,2025-11-03 12:57:45.645397
204,901,2025-11-03 12:57:46.675358
205,905,2025-11-03 12:57:47.705351
206,901,2025-11-03 12:57:48.735296
207,905,2025-11-03 12:57:49.761039
208,901,2025-11-03 12:57:50.786771
209,903,2025-11-03 12:57:51.816738
210,903,2025-11-03 12:57:52.846701
211,903,2025-11-03 12:57:53.876672
212,905,2025-11-03 12:57:54.902424
213,902,2025-11-03 12:57:55.932391
214,906,2025-11-03 12:57:56.958114
215,903,2025-11-03 12:57:57.988065
216,907,2025-11-03 12:57:59.018022
217,904,2025-11-03 12:58:00.047982
218,907,2025-11-03 12:58:01.073710
219,906,2025-11-03 12:58:02.099441
220,904,2025-11-03 12:58:03.129451
221,908,2025-11-03 12:58:04.159439
222,903,2025-11-03 12:58:05.189400
223,909,2025-11-03 12:58:06.219377
224,906,2025-11-03 12:58:07.249315
225,909,2025-11-03 12:58:08.275057
226,908,2025-11-03 12:58:09.305017
227,908,2025-11-03 12:58:10.335031
228,908,2025-11-03 12:58:11.364995
229,905,2025-11-03 12:58:12.394942
230,908,2025-11-03 12:58:13.424892
231,903,2025-11-03 12:58:14.454865
232,907,2025-11-03 12:58:15.480585
233,903,2025-11-03 12:58:16.506326
234,906,2025-11-03 12:58:17.536305
235,903,2025-11-03 12:58:18.566265
236,904,2025-11-03 12:58:19.596217
237,906,2025-11-03 12:58:20.626248
238,905,2025-11-03 12:58:21.656189
239,910,2025-11-03 12:58:22.681915
240,908,2025-11-03 12:58:23.711867
241,913,2025-11-03 12:58:24.741850
242,911,2025-11-03 12:58:25.771804
243,917,2025-11-03 12:58:26.801777
244,917,2025-11-03 12:58:27.831762
245,922,2025-11-03 12:58:28.861708
246,923,2025-11-03 12:58:29.891682
247,921,2025-11-03 12:58:30.921635
248,928,2025-11-03 12:58:31.947379
249,925,2025-11-03 12:58:32.977305
250,930,2025-11-03 12:58:34.007252
251,928,2025-11-03 12:58:35.037213
252,931,2025-11-03 12:58:36.067170
253,931,2025-11-03 12:58:37.097120
254,929,2025-11-03 12:58:38.127088
255,931,2025-11-03 12:58:39.152832
256,928,2025-11-03 12:58:40.182826
257,932,2025-11-03 12:58:41.212782
258,929,2025-11-03 12:58:42.242910
259,933,2025-11-03 12:58:43.272881
260,930,2025-11-03 12:58:44.302866
261,932,2025-11-03 12:58:45.332861
262,932,2025-11-03 12:58:46.362884
263,932,2025-11-03 12:58:47.392864
264,934,2025-11-03 12:58:48.422837
265,931,2025-11-03 12:58:49.452789
266,935,2025-11-03 12:58:50.482777
267,930,2025-11-03 12:58:51.512724
268,934,2025-11-03 12:58:52.538459
269,931,2025-11-03 12:58:53.568414
270,934,2025-11-03 12:58:54.598403
271,934,2025-11-03 12:58:55.628360
272,935,2025-11-03 12:58:56.658318
273,936,2025-11-03 12:58:57.688262
274,934,2025-11-03 12:58:58.718270
275,937,2025-11-03 12:58:59.744035
276,934,2025-11-03 12:59:00.773993
277,937,2025-11-03 12:59:01.799740
278,936,2025-11-03 12:59:02.829715
279,935,2025-11-03 12:59:03.859658
280,936,2025-11-03 12:59:04.889630
281,930,2025-11-03 12:59:05.915382
282,933,2025-11-03 12:59:06.941105
283,927,2025-11-03 12:59:07.971070
284,930,2025-11-03 12:59:09.001096
285,925,2025-11-03 12:59:10.031040
286,927,2025-11-03 12:59:11.056870
287,925,2025-11-03 12:59:12.086854
288,925,2025-11-03 12:59:13.112591
289,928,2025-11-03 12:59:14.142658
290,927,2025-11-03 12:59:15.172632
291,932,2025-11-03 12:59:16.202607
292,929,2025-11-03 12:59:17.232577
293,934,2025-11-03 12:59:18.262537
294,930,2025-11-03 12:59:19.292583
295,937,2025-11-03 12:59:20.322651
296,935,2025-11-03 12:59:21.348394
297,938,2025-11-03 12:59:22.374254
298,939,2025-11-03 12:59:23.404225
299,938,2025-11-03 12:59:24.434216
300,941,2025-11-03 12:59:25.464184
301,939,2025-11-03 12:59:26.494177
302,943,2025-11-03 12:59:27.524145
303,940,2025-11-03 12:59:28.554100
304,943,2025-11-03 12:59:29.584086
305,943,2025-11-03 12:59:30.609852
306,941,2025-11-03 12:59:31.639838
307,943,2025-11-03 12:59:32.665562
308,940,2025-11-03 12:59:33.695520
309,943,2025-11-03 12:59:34.725484
310,939,2025-11-03 12:59:35.755473
311,942,2025-11-03 12:59:36.785556
312,938,2025-11-03 12:59:37.811319
313,939,2025-11-03 12:59:38.841311
314,938,2025-11-03 12:59:39.867061
315,939,2025-11-03 12:59:40.897082
316,942,2025-11-03 12:59:41.927049
317,940,2025-11-03 12:59:42.957018
318,946,2025-11-03 12:59:43.986995
319,942,2025-11-03 12:59:45.016983
320,947,2025-11-03 12:59:46.042754
321,944,2025-11-03 12:59:47.072812
322,947,2025-11-03 12:59:48.098569
323,946,2025-11-03 12:59:49.128524
324,948,2025-11-03 12:59:50.158461
325,949,2025-11-03 12:59:51.188445
326,946,2025-11-03 12:59:52.214198
327,949,2025-11-03 12:59:53.244174
328,943,2025-11-03 12:59:54.269922
329,948,2025-11-03 12:59:55.299901
330,943,2025-11-03 12:59:56.329856
331,946,2025-11-03 12:59:57.359885
332,946,2025-11-03 12:59:58.389849
333,941,2025-11-03 12:59:59.419838
334,943,2025-11-03 13:00:00.445613
335,939,2025-11-03 13:00:01.475618
336,943,2025-11-03 13:00:02.501288
337,938,2025-11-03 13:00:03.531167
338,940,2025-11-03 13:00:04.561073
339,938,2025-11-03 13:00:05.586729
340,938,2025-11-03 13:00:06.616609
341,938,2025-11-03 13:00:07.646576
342,937,2025-11-03 13:00:08.676555
343,940,2025-11-03 13:00:09.706530
344,937,2025-11-03 13:00:10.736500
345,942,2025-11-03 13:00:11.766536
346,939,2025-11-03 13:00:12.796532
347,943,2025-11-03 13:00:13.822277
348,942,2025-11-03 13:00:14.852273
349,946,2025-11-03 13:00:15.878004
350,946,2025-11-03 13:00:16.907975
351,947,2025-11-03 13:00:17.937940
352,950,2025-11-03 13:00:18.967928
353,949,2025-11-03 13:00:19.993676
354,955,2025-11-03 13:00:21.023655
355,953,2025-11-03 13:00:22.049486
356,958,2025-11-03 13:00:23.079484
357,956,2025-11-03 13:00:24.109479
358,958,2025-11-03 13:00:25.139454
359,956,2025-11-03 13:00:26.169410
360,955,2025-11-03 13:00:27.199398
361,959,2025-11-03 13:00:28.225139
362,953,2025-11-03 13:00:29.255093
363,956,2025-11-03 13:00:30.280826
364,950,2025-11-03 13:00:31.310802
365,950,2025-11-03 13:00:32.340833
366,947,2025-11-03 13:00:33.370855
367,946,2025-11-03 13:00:34.400827
368,948,2025-11-03 13:00:35.430824
369,946,2025-11-03 13:00:36.456565
370,950,2025-11-03 13:00:37.486527
371,947,2025-11-03 13:00:38.516498
372,954,2025-11-03 13:00:39.546468
373,952,2025-11-03 13:00:40.576435
374,958,2025-11-03 13:00:41.606433
375,958,2025-11-03 13:00:42.636606
376,960,2025-11-03 13:00:43.666576
377,961,2025-11-03 13:00:44.696529
378,957,2025-11-03 13:00:45.726493
379,960,2025-11-03 13:00:46.756465
380,955,2025-11-03 13:00:47.786487
381,957,2025-11-03 13:00:48.816446
382,950,2025-11-03 13:00:49.842187
383,952,2025-11-03 13:00:50.872145
384,947,2025-11-03 13:00:51.902098
385,949,2025-11-03 13:00:52.932046
386,948,2025-11-03 13:00:53.962009
387,947,2025-11-03 13:00:54.992001
388,952,2025-11-03 13:00:56.017778
389,949,2025-11-03 13:00:57.047753
390,952,2025-11-03 13:00:58.077708
391,951,2025-11-03 13:00:59.107781
392,953,2025-11-03 13:01:00.133583
393,954,2025-11-03 13:01:01.163556
394,954,2025-11-03 13:01:02.193534
395,958,2025-11-03 13:01:03.223498
396,954,2025-11-03 13:01:04.249239
397,958,2025-11-03 13:01:05.279218
398,954,2025-11-03 13:01:06.304950
399,956,2025-11-03 13:01:07.334927
400,954,2025-11-03 13:01:08.364921
401,955,2025-11-03 13:01:09.394910
402,955,2025-11-03 13:01:10.424879
403,953,2025-11-03 13:01:11.454909
404,954,2025-11-03 13:01:12.484907
405,951,2025-11-03 13:01:13.510656
406,955,2025-11-03 13:01:14.540619
407,952,2025-11-03 13:01:15.570652
408,957,2025-11-03 13:01:16.600608
409,955,2025-11-03 13:01:17.630578
410,958,2025-11-03 13:01:18.660536
411,957,2025-11-03 13:01:19.690501
412,958,2025-11-03 13:01:20.720460
413,961,2025-11-03 13:01:21.750450
414,959,2025-11-03 13:01:22.776362
415,964,2025-11-03 13:01:23.806379
416,961,2025-11-03 13:01:24.836359
417,966,2025-11-03 13:01:25.862110
418,964,2025-11-03 13:01:26.892073
419,964,2025-11-03 13:01:27.922021
420,967,2025-11-03 13:01:28.951968
421,965,2025-11-03 13:01:29.977748
422,971,2025-11-03 13:01:31.007811
423,968,2025-11-03 13:01:32.037816
424,975,2025-11-03 13:01:33.063584
425,973,2025-11-03 13:01:34.093605
426,979,2025-11-03 13:01:35.123580
427,978,2025-11-03 13:01:36.153520
428,979,2025-11-03 13:01:37.183473
429,980,2025-11-03 13:01:38.213493
430,978,2025-11-03 13:01:39.243497
431,980,2025-11-03 13:01:40.273482
432,976,2025-11-03 13:01:41.299226
433,979,2025-11-03 13:01:42.329182
434,976,2025-11-03 13:01:43.359154
435,979,2025-11-03 13:01:44.389121
436,977,2025-11-03 13:01:45.419134
437,979,2025-11-03 13:01:46.449096
438,981,2025-11-03 13:01:47.479080
439,982,2025-11-03 13:01:48.509038
440,986,2025-11-03 13:01:49.539009
441,984,2025-11-03 13:01:50.564761
442,990,2025-11-03 13:01:51.594735
443,985,2025-11-03 13:01:52.620521
444,992,2025-11-03 13:01:53.650483
445,990,2025-11-03 13:01:54.680445
446,994,2025-11-03 13:01:55.710431
447,995,2025-11-03 13:01:56.736185
448,991,2025-11-03 13:01:57.761930
449,996,2025-11-03 13:01:58.791871
450,991,2025-11-03 13:01:59.821831
451,996,2025-11-03 13:02:00.851829
452,994,2025-11-03 13:02:04.889322
453,996,2025-11-03 13:02:05.919282
454,994,2025-11-03 13:02:06.949242
455,998,2025-11-03 13:02:07.979176
456,996,2025-11-03 13:02:09.004904
457,1000,2025-11-03 13:02:10.034860
458,997,2025-11-03 13:02:11.060607
459,1000,2025-11-03 13:02:12.090585
460,999,2025-11-03 13:02:13.120506
461,999,2025-11-03 13:02:14.146270
462,1002,2025-11-03 13:02:15.176226
463,1000,2025-11-03 13:02:16.201944
464,1004,2025-11-03 13:02:17.231896
465,1000,2025-11-03 13:02:18.261853
466,1001,2025-11-03 13:02:19.291829
467,999,2025-11-03 13:02:20.321799
468,998,2025-11-03 13:02:21.351743
469,1000,2025-11-03 13:02:22.377469
470,997,2025-11-03 13:02:23.403262
471,999,2025-11-03 13:02:24.433258
472,994,2025-11-03 13:02:25.463246
473,996,2025-11-03 13:02:26.493201
474,991,2025-11-03 13:02:27.518928
475,993,2025-11-03 13:02:28.544638
476,992,2025-11-03 13:02:29.574604
477,991,2025-11-03 13:02:30.604561
478,991,2025-11-03 13:02:31.634520
479,988,2025-11-03 13:02:32.660241
480,990,2025-11-03 13:02:33.690222
481,984,2025-11-03 13:02:34.715953
482,988,2025-11-03 13:02:35.745911
483,982,2025-11-03 13:02:36.775894
484,986,2025-11-03 13:02:37.805838
485,981,2025-11-03 13:02:38.831549
486,981,2025-11-03 13:02:39.857276
487,979,2025-11-03 13:02:40.887230
488,976,2025-11-03 13:02:41.917180
489,976,2025-11-03 13:02:42.947122
490,971,2025-11-03 13:02:43.972881
491,972,2025-11-03 13:02:44.998638
492,966,2025-11-03 13:02:46.028599
493,966,2025-11-03 13:02:47.058704
494,965,2025-11-03 13:02:48.088645
495,964,2025-11-03 13:02:49.118581
496,968,2025-11-03 13:02:50.148575
497,967,2025-11-03 13:02:51.178555
498,974,2025-11-03 13:02:52.204285
499,972,2025-11-03 13:02:53.234233
500,981,2025-11-03 13:02:54.259936
501,981,2025-11-03 13:02:55.289893
502,990,2025-11-03 13:02:56.319841
503,993,2025-11-03 13:02:57.349782
504,996,2025-11-03 13:02:58.379707
505,1001,2025-11-03 13:02:59.405424
506,1001,2025-11-03 13:03:00.435378
507,1007,2025-11-03 13:03:01.465328
508,1006,2025-11-03 13:03:02.495280
509,1011,2025-11-03 13:03:03.525253
510,1008,2025-11-03 13:03:04.555192
511,1012,2025-11-03 13:03:05.580965
512,1010,2025-11-03 13:03:06.606683
513,1010,2025-11-03 13:03:07.636642
514,1012,2025-11-03 13:03:08.666580
515,1010,2025-11-03 13:03:09.692282
516,1015,2025-11-03 13:03:10.717998
517,1009,2025-11-03 13:03:11.747966
518,1012,2025-11-03 13:03:12.777935
519,1008,2025-11-03 13:03:13.807866
520,1006,2025-11-03 13:03:14.833569
521,1006,2025-11-03 13:03:15.859292
522,1002,2025-11-03 13:03:16.889247
523,1003,2025-11-03 13:03:17.919186
524,998,2025-11-03 13:03:18.949133
525,999,2025-11-03 13:03:19.979083
526,995,2025-11-03 13:03:21.004814
527,997,2025-11-03 13:03:22.034783
528,994,2025-11-03 13:03:23.064740
529,993,2025-11-03 13:03:24.094708
530,994,2025-11-03 13:03:25.124651
531,991,2025-11-03 13:03:26.154618
532,993,2025-11-03 13:03:27.184783
533,989,2025-11-03 13:03:28.214743
534,993,2025-11-03 13:03:29.244698
535,990,2025-11-03 13:03:30.270425
536,993,2025-11-03 13:03:31.300366
537,990,2025-11-03 13:03:32.330318
538,991,2025-11-03 13:03:33.360248
539,994,2025-11-03 13:03:34.390188
540,994,2025-11-03 13:03:35.420153
541,1001,2025-11-03 13:03:36.450096
542,1000,2025-11-03 13:03:37.475820
543,1008,2025-11-03 13:03:38.505814
544,1006,2025-11-03 13:03:39.535769
545,1015,2025-11-03 13:03:40.565737
546,1014,2025-11-03 13:03:41.595691
547,1021,2025-11-03 13:03:42.625625
548,1022,2025-11-03 13:03:43.655579
549,1021,2025-11-03 13:03:44.685495
550,1026,2025-11-03 13:03:45.715427
551,1025,2025-11-03 13:03:46.745347
552,1030,2025-11-03 13:03:47.771075
553,1029,2025-11-03 13:03:48.801018
554,1032,2025-11-03 13:03:49.830936
555,1032,2025-11-03 13:03:50.856628
556,1030,2025-11-03 13:03:51.886584
557,1032,2025-11-03 13:03:52.912276
558,1027,2025-11-03 13:03:53.942176
559,1032,2025-11-03 13:03:54.972092
560,1027,2025-11-03 13:03:55.997818
561,1032,2025-11-03 13:03:57.027735
562,1028,2025-11-03 13:03:58.057676
563,1029,2025-11-03 13:03:59.087569
564,1027,2025-11-03 13:04:00.117522
565,1027,2025-11-03 13:04:01.143220
566,1027,2025-11-03 13:04:02.173138
567,1024,2025-11-03 13:04:03.203074
568,1027,2025-11-03 13:04:04.233023
569,1022,2025-11-03 13:04:05.262959
570,1023,2025-11-03 13:04:06.292866
571,1018,2025-11-03 13:04:07.322890
572,1019,2025-11-03 13:04:08.348563
573,1016,2025-11-03 13:04:09.374220
574,1015,2025-11-03 13:04:10.404122
575,1015,2025-11-03 13:04:11.434065
576,1010,2025-11-03 13:04:12.463995
577,1012,2025-11-03 13:04:13.489672
578,1007,2025-11-03 13:04:14.519593
579,1010,2025-11-03 13:04:15.549551
580,1008,2025-11-03 13:04:16.579476
581,995,2025-11-03 13:04:17.609388
582,994,2025-11-03 13:04:18.639299
583,992,2025-11-03 13:04:19.665051
584,995,2025-11-03 13:04:20.695039
585,991,2025-11-03 13:04:21.725013
586,995,2025-11-03 13:04:22.754921
587,992,2025-11-03 13:04:23.784873
588,994,2025-11-03 13:04:24.814793
589,992,2025-11-03 13:04:25.840469
590,993,2025-11-03 13:04:26.870386
591,994,2025-11-03 13:04:27.900341
592,993,2025-11-03 13:04:28.930232
593,997,2025-11-03 13:04:29.960171
594,995,2025-11-03 13:04:30.990102
595,1000,2025-11-03 13:04:32.020046
596,998,2025-11-03 13:04:33.045719
597,1005,2025-11-03 13:04:34.075653
598,1004,2025-11-03 13:04:35.105581
599,1010,2025-11-03 13:04:36.135532
600,1011,2025-11-03 13:04:37.165483
601,1015,2025-11-03 13:04:38.191200
602,1020,2025-11-03 13:04:39.221189
603,1019,2025-11-03 13:04:40.246989
604,1024,2025-11-03 13:04:41.276978
605,1024,2025-11-03 13:04:42.306949
606,1030,2025-11-03 13:04:43.336870
607,1031,2025-11-03 13:04:44.366829
608,1032,2025-11-03 13:04:45.392538
609,1035,2025-11-03 13:04:46.422456
610,1032,2025-11-03 13:04:47.452531
611,1036,2025-11-03 13:04:48.482465
612,1033,2025-11-03 13:04:49.512414
613,1036,2025-11-03 13:04:50.542347
614,1033,2025-11-03 13:04:51.572322
615,1036,2025-11-03 13:04:52.602284
616,1035,2025-11-03 13:04:53.628002
617,1038,2025-11-03 13:04:54.657940
618,1046,2025-11-03 13:04:55.687810
619,1043,2025-11-03 13:04:56.717647
620,1058,2025-11-03 13:04:57.747488
621,1056,2025-11-03 13:04:58.777313
622,1062,2025-11-03 13:04:59.807172
623,1058,2025-11-03 13:05:00.837127
624,1063,2025-11-03 13:05:01.867106
625,1062,2025-11-03 13:05:02.897099
626,1065,2025-11-03 13:05:03.927065
627,1066,2025-11-03 13:05:04.957030
628,1064,2025-11-03 13:05:05.983187
629,1067,2025-11-03 13:05:07.013145
630,1063,2025-11-03 13:05:08.043110
631,1069,2025-11-03 13:05:09.068836
632,1064,2025-11-03 13:05:10.098804
633,1069,2025-11-03 13:05:11.128762
634,1066,2025-11-03 13:05:12.158734
635,1067,2025-11-03 13:05:13.188676
636,1071,2025-11-03 13:05:14.218628
637,1066,2025-11-03 13:05:15.244358
638,1071,2025-11-03 13:05:16.274329
639,1067,2025-11-03 13:05:17.300058
640,1071,2025-11-03 13:05:18.330017
641,1066,2025-11-03 13:05:19.359965
642,1069,2025-11-03 13:05:20.389936
643,1069,2025-11-03 13:05:21.415643
644,1068,2025-11-03 13:05:22.441375
645,1072,2025-11-03 13:05:23.471330
646,1068,2025-11-03 13:05:24.501285
647,1072,2025-11-03 13:05:25.531242
648,1068,2025-11-03 13:05:26.556973
649,1071,2025-11-03 13:05:27.587002
650,1067,2025-11-03 13:05:28.612734
651,1071,2025-11-03 13:05:29.642709
652,1070,2025-11-03 13:05:30.672683
653,1070,2025-11-03 13:05:31.702634
654,1072,2025-11-03 13:05:32.732609
655,1068,2025-11-03 13:05:33.762553
656,1073,2025-11-03 13:05:34.792509
657,1069,2025-11-03 13:05:35.822457
658,1073,2025-11-03 13:05:36.848209
659,1070,2025-11-03 13:05:37.878224
660,1072,2025-11-03 13:05:38.908174
661,1069,2025-11-03 13:05:39.938161
662,1069,2025-11-03 13:05:40.968123
663,1073,2025-11-03 13:05:41.993870
664,1068,2025-11-03 13:05:43.019600
665,1072,2025-11-03 13:05:44.049564
666,1066,2025-11-03 13:05:45.079524
667,1068,2025-11-03 13:05:46.109509
668,1064,2025-11-03 13:05:47.139488
669,1064,2025-11-03 13:05:48.165237
670,1065,2025-11-03 13:05:49.195328
671,1062,2025-11-03 13:05:50.221065
672,1065,2025-11-03 13:05:51.251028
673,1060,2025-11-03 13:05:52.281040
674,1064,2025-11-03 13:05:53.311003
675,1059,2025-11-03 13:05:54.340970
676,1062,2025-11-03 13:05:55.370950
677,1060,2025-11-03 13:05:56.396681
678,1060,2025-11-03 13:05:57.426672
679,1060,2025-11-03 13:05:58.452392
680,1055,2025-11-03 13:05:59.482347
681,1058,2025-11-03 13:06:00.512333
682,1052,2025-11-03 13:06:01.542337
683,1055,2025-11-03 13:06:02.572450
684,1049,2025-11-03 13:06:03.602480
685,1052,2025-11-03 13:06:04.632480
686,1048,2025-11-03 13:06:05.662453
687,1050,2025-11-03 13:06:06.692452
688,1050,2025-11-03 13:06:07.718180
